,asli,tanpa_stopword,lemmatized
24,"['however', 'south', 'china', 'agriculture', 'university', 'has', 'suggested', 'the', 'virus', 'could', 'have', 'moved', 'from', 'bats', 'to', 'pangolins', 'and', 'finally', 'to', 'humans']","['however', 'south', 'china', 'agriculture', 'university', 'suggested', 'virus', 'could', 'moved', 'bats', 'pangolins', 'finally', 'humans']","['however', 'south', 'china', 'agriculture', 'university', 'suggested', 'virus', 'could', 'moved', 'bat', 'pangolin', 'finally', 'human']"
25,"['two', 'reasons', 'people', 'coming', 'into', 'close', 'contact', 'with', 'animals', 'harbouring', 'viruses', 'and', 'dense', 'urban', 'populations', 'that', 'allow', 'it', 'to', 'spread']","['two', 'reasons', 'people', 'coming', 'close', 'contact', 'animals', 'harbouring', 'viruses', 'dense', 'urban', 'populations', 'allow', 'spread']","['two', 'reason', 'people', 'coming', 'close', 'contact', 'animal', 'harbouring', 'virus', 'dense', 'urban', 'population', 'allow', 'spread']"
26,"['no', 'one', 'is', 'surprised', 'the', 'next', 'outbreak', 'is', 'in', 'china', 'or', 'that', 'part', 'of', 'the', 'world', 'says', 'prof', 'mark', 'woolhouse', 'from', 'the', 'university', 'of', 'edinburgh']","['one', 'surprised', 'next', 'outbreak', 'china', 'part', 'world', 'says', 'prof', 'mark', 'woolhouse', 'university', 'edinburgh']","['one', 'surprised', 'next', 'outbreak', 'china', 'part', 'world', 'say', 'prof', 'mark', 'woolhouse', 'university', 'edinburgh']"
27,"['it', 'largely', 'spreads', 'when', 'infected', 'people', 'cough', 'droplets', 'containing', 'the', 'virus', 'into', 'the', 'air', 'that', 'infect', 'those', 'nearby']","['largely', 'spreads', 'infected', 'people', 'cough', 'droplets', 'containing', 'virus', 'air', 'infect', 'nearby']","['largely', 'spread', 'infected', 'people', 'cough', 'droplet', 'containing', 'virus', 'air', 'infect', 'nearby']"
28,"['initially', 'the', 'chinese', 'authorities', 'said', 'the', 'virus', 'was', 'not', 'spreading', 'between', 'people']","['initially', 'chinese', 'authorities', 'said', 'virus', 'spreading', 'people']","['initially', 'chinese', 'authority', 'said', 'virus', 'spreading', 'people']"
29,"['but', 'now', 'we', 'know', 'each', 'infected', 'person', 'is', 'passing', 'the', 'virus', 'on', 'to', 'between', 'two', 'and', 'three', 'other', 'people']","['know', 'infected', 'person', 'passing', 'virus', 'two', 'three', 'people']","['know', 'infected', 'person', 'passing', 'virus', 'two', 'three', 'people']"
30,"['this', 'figure', 'is', 'the', 'basic', 'reproduction', 'number', 'of', 'the', 'virus', 'anything', 'higher', 'than', 'one', 'means', 'the', 'virus', 'is', 'self', 'sustaining']","['figure', 'basic', 'reproduction', 'number', 'virus', 'anything', 'higher', 'one', 'means', 'virus', 'self', 'sustaining']","['figure', 'basic', 'reproduction', 'number', 'virus', 'anything', 'higher', 'one', 'mean', 'virus', 'self', 'sustaining']"
31,"['in', 'other', 'words', 'this', 'is', 'not', 'an', 'outbreak', 'that', 'will', 'burn', 'out', 'on', 'its', 'own', 'and', 'disappear']","['words', 'outbreak', 'burn', 'disappear']","['word', 'outbreak', 'burn', 'disappear']"
32,"['mostly', 'when', 'people', 'are', 'coughing', 'however', 'chinese', 'scientists', 'have', 'suggested', 'some', 'people', 'may', 'be', 'infectious', 'even', 'before', 'their', 'symptoms', 'appear']","['mostly', 'people', 'coughing', 'however', 'chinese', 'scientists', 'suggested', 'people', 'may', 'infectious', 'even', 'symptoms', 'appear']","['mostly', 'people', 'coughing', 'however', 'chinese', 'scientist', 'suggested', 'people', 'may', 'infectious', 'even', 'symptom', 'appear']"
33,"['the', 'time', 'between', 'infection', 'and', 'symptoms', 'known', 'as', 'the', 'incubation', 'period', 'lasts', 'up', 'to', '14', 'days']","['time', 'infection', 'symptoms', 'known', 'incubation', 'period', 'lasts', '14', 'days']","['time', 'infection', 'symptom', 'known', 'incubation', 'period', 'last', '14', 'day']"
